Image: 65, MSE: 0.0006, PSNR: 32.4763, SSIM: 0.9866, LPIPS: 0.0357
Image: 66, MSE: 0.0012, PSNR: 29.3306, SSIM: 0.9757, LPIPS: 0.0443
Image: 67, MSE: 0.0005, PSNR: 32.5990, SSIM: 0.9877, LPIPS: 0.0391
Image: 68, MSE: 0.0006, PSNR: 32.1397, SSIM: 0.9843, LPIPS: 0.0373
Image: 69, MSE: 0.0007, PSNR: 31.6717, SSIM: 0.9882, LPIPS: 0.0341
Image: 70, MSE: 0.0006, PSNR: 32.0843, SSIM: 0.9859, LPIPS: 0.0303
Image: 71, MSE: 0.0015, PSNR: 28.2473, SSIM: 0.9711, LPIPS: 0.0518
Image: 72, MSE: 0.0011, PSNR: 29.6330, SSIM: 0.9776, LPIPS: 0.0420
Image: 73, MSE: 0.0005, PSNR: 33.0721, SSIM: 0.9883, LPIPS: 0.0355
Image: 74, MSE: 0.0005, PSNR: 33.3445, SSIM: 0.9914, LPIPS: 0.0248
Image: 75, MSE: 0.0006, PSNR: 32.3219, SSIM: 0.9856, LPIPS: 0.0317
Image: 76, MSE: 0.0004, PSNR: 33.8743, SSIM: 0.9878, LPIPS: 0.0324
Image: 77, MSE: 0.0005, PSNR: 33.1251, SSIM: 0.9891, LPIPS: 0.0308
Image: 78, MSE: 0.0005, PSNR: 33.3229, SSIM: 0.9831, LPIPS: 0.0411
Image: 79, MSE: 0.0004, PSNR: 34.4206, SSIM: 0.9873, LPIPS: 0.0320
Image: 80, MSE: 0.0005, PSNR: 33.2089, SSIM: 0.9894, LPIPS: 0.0351
Image: 81, MSE: 0.0004, PSNR: 33.6633, SSIM: 0.9906, LPIPS: 0.0281
Image: 82, MSE: 0.0006, PSNR: 31.8887, SSIM: 0.9854, LPIPS: 0.0348
Image: 83, MSE: 0.0004, PSNR: 33.7343, SSIM: 0.9866, LPIPS: 0.0356
Image: 84, MSE: 0.0005, PSNR: 33.2967, SSIM: 0.9886, LPIPS: 0.0369
Image: 85, MSE: 0.0006, PSNR: 32.4119, SSIM: 0.9878, LPIPS: 0.0349
Image: 86, MSE: 0.0009, PSNR: 30.6378, SSIM: 0.9826, LPIPS: 0.0366
Image: 87, MSE: 0.0008, PSNR: 30.9937, SSIM: 0.9845, LPIPS: 0.0390
Image: 88, MSE: 0.0005, PSNR: 32.8518, SSIM: 0.9916, LPIPS: 0.0308
Image: 89, MSE: 0.0004, PSNR: 33.7221, SSIM: 0.9913, LPIPS: 0.0231
Image: 90, MSE: 0.0004, PSNR: 33.6838, SSIM: 0.9905, LPIPS: 0.0241
Image: 91, MSE: 0.0005, PSNR: 33.1591, SSIM: 0.9922, LPIPS: 0.0287
Image: 92, MSE: 0.0003, PSNR: 34.5626, SSIM: 0.9916, LPIPS: 0.0283
Image: 93, MSE: 0.0004, PSNR: 34.4786, SSIM: 0.9912, LPIPS: 0.0277
Image: 94, MSE: 0.0006, PSNR: 32.3745, SSIM: 0.9898, LPIPS: 0.0348
Image: 95, MSE: 0.0008, PSNR: 30.9640, SSIM: 0.9820, LPIPS: 0.0341
Image: 96, MSE: 0.0007, PSNR: 31.2814, SSIM: 0.9867, LPIPS: 0.0411
Image: 97, MSE: 0.0006, PSNR: 32.2027, SSIM: 0.9873, LPIPS: 0.0306
Image: 98, MSE: 0.0004, PSNR: 34.4010, SSIM: 0.9880, LPIPS: 0.0314
