Epoch: 83, TL: 0.009, TPSNR: 23.813, Test PSNR: 0.000
Epoch: 84, TL: 0.010, TPSNR: 23.595, Test PSNR: 0.000
Epoch: 85, TL: 0.009, TPSNR: 23.861, Test PSNR: 0.000
Epoch: 86, TL: 0.009, TPSNR: 23.881, Test PSNR: 0.000
Epoch: 87, TL: 0.009, TPSNR: 23.909, Test PSNR: 0.000
Epoch: 88, TL: 0.009, TPSNR: 23.923, Test PSNR: 0.000
Epoch: 89, TL: 0.009, TPSNR: 23.955, Test PSNR: 0.000
Epoch: 90, TL: 0.009, TPSNR: 23.910, Test PSNR: 33.434
Epoch: 91, TL: 0.009, TPSNR: 23.830, Test PSNR: 0.000
Epoch: 92, TL: 0.009, TPSNR: 24.086, Test PSNR: 0.000
Epoch: 93, TL: 0.009, TPSNR: 24.004, Test PSNR: 0.000
Epoch: 94, TL: 0.009, TPSNR: 24.078, Test PSNR: 0.000
Epoch: 95, TL: 0.009, TPSNR: 23.900, Test PSNR: 0.000
Epoch: 96, TL: 0.009, TPSNR: 24.178, Test PSNR: 0.000
Epoch: 97, TL: 0.009, TPSNR: 23.993, Test PSNR: 0.000
Epoch: 98, TL: 0.009, TPSNR: 24.125, Test PSNR: 0.000
Epoch: 99, TL: 0.009, TPSNR: 24.267, Test PSNR: 0.000
Epoch: 100, TL: 0.009, TPSNR: 24.150, Test PSNR: 33.711
Epoch: 101, TL: 0.009, TPSNR: 24.304, Test PSNR: 0.000
Epoch: 102, TL: 0.009, TPSNR: 24.381, Test PSNR: 0.000
Epoch: 103, TL: 0.009, TPSNR: 24.360, Test PSNR: 0.000
Epoch: 104, TL: 0.009, TPSNR: 24.278, Test PSNR: 0.000
Epoch: 105, TL: 0.009, TPSNR: 24.158, Test PSNR: 0.000
Epoch: 106, TL: 0.009, TPSNR: 24.300, Test PSNR: 0.000
Epoch: 107, TL: 0.008, TPSNR: 24.355, Test PSNR: 0.000
Epoch: 108, TL: 0.008, TPSNR: 24.492, Test PSNR: 0.000
Epoch: 109, TL: 0.009, TPSNR: 24.320, Test PSNR: 0.000
Epoch: 110, TL: 0.009, TPSNR: 24.321, Test PSNR: 33.294
Epoch: 111, TL: 0.008, TPSNR: 24.411, Test PSNR: 0.000
Epoch: 112, TL: 0.009, TPSNR: 24.217, Test PSNR: 0.000
Epoch: 113, TL: 0.008, TPSNR: 24.609, Test PSNR: 0.000
Epoch: 114, TL: 0.008, TPSNR: 24.553, Test PSNR: 0.000
Epoch: 115, TL: 0.008, TPSNR: 24.609, Test PSNR: 0.000
Epoch: 116, TL: 0.008, TPSNR: 24.548, Test PSNR: 0.000
Epoch: 117, TL: 0.008, TPSNR: 24.619, Test PSNR: 0.000
Epoch: 118, TL: 0.008, TPSNR: 24.646, Test PSNR: 0.000
Epoch: 119, TL: 0.008, TPSNR: 24.643, Test PSNR: 0.000
Epoch: 120, TL: 0.008, TPSNR: 24.615, Test PSNR: 33.587
Epoch: 121, TL: 0.008, TPSNR: 24.695, Test PSNR: 0.000
Epoch: 122, TL: 0.008, TPSNR: 24.665, Test PSNR: 0.000
Epoch: 123, TL: 0.008, TPSNR: 24.633, Test PSNR: 0.000
Epoch: 124, TL: 0.008, TPSNR: 24.833, Test PSNR: 0.000
Epoch: 125, TL: 0.008, TPSNR: 24.741, Test PSNR: 0.000
Epoch: 126, TL: 0.008, TPSNR: 24.816, Test PSNR: 0.000
Epoch: 127, TL: 0.008, TPSNR: 24.891, Test PSNR: 0.000
Epoch: 128, TL: 0.008, TPSNR: 24.881, Test PSNR: 0.000
Epoch: 129, TL: 0.008, TPSNR: 24.912, Test PSNR: 0.000
Epoch: 130, TL: 0.008, TPSNR: 24.958, Test PSNR: 33.380
Epoch: 131, TL: 0.008, TPSNR: 24.818, Test PSNR: 0.000
Epoch: 132, TL: 0.008, TPSNR: 24.840, Test PSNR: 0.000
Epoch: 133, TL: 0.008, TPSNR: 25.012, Test PSNR: 0.000
Epoch: 134, TL: 0.008, TPSNR: 24.974, Test PSNR: 0.000
Epoch: 135, TL: 0.008, TPSNR: 25.011, Test PSNR: 0.000
Epoch: 136, TL: 0.008, TPSNR: 25.160, Test PSNR: 0.000
Epoch: 137, TL: 0.008, TPSNR: 25.129, Test PSNR: 0.000
Epoch: 138, TL: 0.008, TPSNR: 24.939, Test PSNR: 0.000
Epoch: 139, TL: 0.008, TPSNR: 25.174, Test PSNR: 0.000
Epoch: 140, TL: 0.008, TPSNR: 24.928, Test PSNR: 34.058
Epoch: 141, TL: 0.007, TPSNR: 25.184, Test PSNR: 0.000
Epoch: 142, TL: 0.008, TPSNR: 25.000, Test PSNR: 0.000
Epoch: 143, TL: 0.007, TPSNR: 25.305, Test PSNR: 0.000
Epoch: 144, TL: 0.008, TPSNR: 25.145, Test PSNR: 0.000
Epoch: 145, TL: 0.008, TPSNR: 25.008, Test PSNR: 0.000
Epoch: 146, TL: 0.007, TPSNR: 25.288, Test PSNR: 0.000
Epoch: 147, TL: 0.008, TPSNR: 25.143, Test PSNR: 0.000
Epoch: 148, TL: 0.007, TPSNR: 25.375, Test PSNR: 0.000
Epoch: 149, TL: 0.007, TPSNR: 25.322, Test PSNR: 0.000
Epoch: 150, TL: 0.007, TPSNR: 25.246, Test PSNR: 34.205
Epoch: 151, TL: 0.007, TPSNR: 25.188, Test PSNR: 0.000
Epoch: 152, TL: 0.007, TPSNR: 25.350, Test PSNR: 0.000
Epoch: 153, TL: 0.007, TPSNR: 25.343, Test PSNR: 0.000
Epoch: 154, TL: 0.007, TPSNR: 25.462, Test PSNR: 0.000
Epoch: 155, TL: 0.007, TPSNR: 25.480, Test PSNR: 0.000
Epoch: 156, TL: 0.007, TPSNR: 25.145, Test PSNR: 0.000
Epoch: 157, TL: 0.007, TPSNR: 25.263, Test PSNR: 0.000
Epoch: 158, TL: 0.007, TPSNR: 25.536, Test PSNR: 0.000
Epoch: 159, TL: 0.007, TPSNR: 25.404, Test PSNR: 0.000
Epoch: 160, TL: 0.007, TPSNR: 25.419, Test PSNR: 34.584
Epoch: 161, TL: 0.007, TPSNR: 25.515, Test PSNR: 0.000
Epoch: 162, TL: 0.007, TPSNR: 25.497, Test PSNR: 0.000
Epoch: 163, TL: 0.007, TPSNR: 25.516, Test PSNR: 0.000
Epoch: 164, TL: 0.007, TPSNR: 25.618, Test PSNR: 0.000
Epoch: 165, TL: 0.007, TPSNR: 25.643, Test PSNR: 0.000
Epoch: 166, TL: 0.007, TPSNR: 25.565, Test PSNR: 0.000
Epoch: 167, TL: 0.007, TPSNR: 25.701, Test PSNR: 0.000
Epoch: 168, TL: 0.007, TPSNR: 25.430, Test PSNR: 0.000
Epoch: 169, TL: 0.007, TPSNR: 25.709, Test PSNR: 0.000
Epoch: 170, TL: 0.007, TPSNR: 25.701, Test PSNR: 34.577
Epoch: 171, TL: 0.007, TPSNR: 25.772, Test PSNR: 0.000
Epoch: 172, TL: 0.007, TPSNR: 25.825, Test PSNR: 0.000
Epoch: 173, TL: 0.007, TPSNR: 25.800, Test PSNR: 0.000
Epoch: 174, TL: 0.007, TPSNR: 25.821, Test PSNR: 0.000
Epoch: 175, TL: 0.007, TPSNR: 25.692, Test PSNR: 0.000
Epoch: 176, TL: 0.007, TPSNR: 25.672, Test PSNR: 0.000
Epoch: 177, TL: 0.007, TPSNR: 25.696, Test PSNR: 0.000
Epoch: 178, TL: 0.007, TPSNR: 25.744, Test PSNR: 0.000
Epoch: 179, TL: 0.007, TPSNR: 25.854, Test PSNR: 0.000
Epoch: 180, TL: 0.007, TPSNR: 25.805, Test PSNR: 34.690
Epoch: 181, TL: 0.007, TPSNR: 25.674, Test PSNR: 0.000
Epoch: 182, TL: 0.007, TPSNR: 26.018, Test PSNR: 0.000
Epoch: 183, TL: 0.007, TPSNR: 25.928, Test PSNR: 0.000
Epoch: 184, TL: 0.007, TPSNR: 26.055, Test PSNR: 0.000
Epoch: 185, TL: 0.007, TPSNR: 25.899, Test PSNR: 0.000
Epoch: 186, TL: 0.007, TPSNR: 26.031, Test PSNR: 0.000
Epoch: 187, TL: 0.007, TPSNR: 25.958, Test PSNR: 0.000
Epoch: 188, TL: 0.007, TPSNR: 25.990, Test PSNR: 0.000
Epoch: 189, TL: 0.007, TPSNR: 26.019, Test PSNR: 0.000
Epoch: 190, TL: 0.007, TPSNR: 26.059, Test PSNR: 33.955
Epoch: 191, TL: 0.007, TPSNR: 26.015, Test PSNR: 0.000
Epoch: 192, TL: 0.007, TPSNR: 26.016, Test PSNR: 0.000
Epoch: 193, TL: 0.007, TPSNR: 26.089, Test PSNR: 0.000
Epoch: 194, TL: 0.007, TPSNR: 25.998, Test PSNR: 0.000
Epoch: 195, TL: 0.006, TPSNR: 26.114, Test PSNR: 0.000
Epoch: 196, TL: 0.006, TPSNR: 26.199, Test PSNR: 0.000
Epoch: 197, TL: 0.006, TPSNR: 26.081, Test PSNR: 0.000
Epoch: 198, TL: 0.006, TPSNR: 26.133, Test PSNR: 0.000
Epoch: 199, TL: 0.006, TPSNR: 26.270, Test PSNR: 0.000
Epoch: 200, TL: 0.006, TPSNR: 26.198, Test PSNR: 35.193
Epoch: 201, TL: 0.006, TPSNR: 26.214, Test PSNR: 0.000
Epoch: 202, TL: 0.006, TPSNR: 26.380, Test PSNR: 0.000
Epoch: 203, TL: 0.006, TPSNR: 26.208, Test PSNR: 0.000
Epoch: 204, TL: 0.006, TPSNR: 26.386, Test PSNR: 0.000
Epoch: 205, TL: 0.006, TPSNR: 26.242, Test PSNR: 0.000
Epoch: 206, TL: 0.006, TPSNR: 26.453, Test PSNR: 0.000
Epoch: 207, TL: 0.006, TPSNR: 26.383, Test PSNR: 0.000
Epoch: 208, TL: 0.006, TPSNR: 26.452, Test PSNR: 0.000
Epoch: 209, TL: 0.006, TPSNR: 26.410, Test PSNR: 0.000
Epoch: 210, TL: 0.006, TPSNR: 26.298, Test PSNR: 34.898
Epoch: 211, TL: 0.006, TPSNR: 26.425, Test PSNR: 0.000
Epoch: 212, TL: 0.006, TPSNR: 26.332, Test PSNR: 0.000
Epoch: 213, TL: 0.006, TPSNR: 26.265, Test PSNR: 0.000
Epoch: 214, TL: 0.006, TPSNR: 26.301, Test PSNR: 0.000
Epoch: 215, TL: 0.006, TPSNR: 26.489, Test PSNR: 0.000
Epoch: 216, TL: 0.006, TPSNR: 26.626, Test PSNR: 0.000
Epoch: 217, TL: 0.006, TPSNR: 26.343, Test PSNR: 0.000
Epoch: 218, TL: 0.006, TPSNR: 26.584, Test PSNR: 0.000
Epoch: 219, TL: 0.006, TPSNR: 26.511, Test PSNR: 0.000
Epoch: 220, TL: 0.006, TPSNR: 26.577, Test PSNR: 35.282
Epoch: 221, TL: 0.006, TPSNR: 26.456, Test PSNR: 0.000
Epoch: 222, TL: 0.006, TPSNR: 26.628, Test PSNR: 0.000
Epoch: 223, TL: 0.006, TPSNR: 26.551, Test PSNR: 0.000
Epoch: 224, TL: 0.006, TPSNR: 26.625, Test PSNR: 0.000
Epoch: 225, TL: 0.006, TPSNR: 26.489, Test PSNR: 0.000
Epoch: 226, TL: 0.006, TPSNR: 26.818, Test PSNR: 0.000
Epoch: 227, TL: 0.006, TPSNR: 26.529, Test PSNR: 0.000
Epoch: 228, TL: 0.006, TPSNR: 26.606, Test PSNR: 0.000
Epoch: 229, TL: 0.006, TPSNR: 26.679, Test PSNR: 0.000
Epoch: 230, TL: 0.006, TPSNR: 26.830, Test PSNR: 35.267
Epoch: 231, TL: 0.006, TPSNR: 26.643, Test PSNR: 0.000
Epoch: 232, TL: 0.006, TPSNR: 26.482, Test PSNR: 0.000
Epoch: 233, TL: 0.006, TPSNR: 26.721, Test PSNR: 0.000
Epoch: 234, TL: 0.006, TPSNR: 26.795, Test PSNR: 0.000
Epoch: 235, TL: 0.006, TPSNR: 26.830, Test PSNR: 0.000
Epoch: 236, TL: 0.006, TPSNR: 26.707, Test PSNR: 0.000
Epoch: 237, TL: 0.006, TPSNR: 26.678, Test PSNR: 0.000
Epoch: 238, TL: 0.006, TPSNR: 26.985, Test PSNR: 0.000
Epoch: 239, TL: 0.006, TPSNR: 26.865, Test PSNR: 0.000
Epoch: 240, TL: 0.006, TPSNR: 26.836, Test PSNR: 35.327
Epoch: 241, TL: 0.006, TPSNR: 26.861, Test PSNR: 0.000
Epoch: 242, TL: 0.006, TPSNR: 26.867, Test PSNR: 0.000
Epoch: 243, TL: 0.006, TPSNR: 26.801, Test PSNR: 0.000
Epoch: 244, TL: 0.006, TPSNR: 26.806, Test PSNR: 0.000
Epoch: 245, TL: 0.006, TPSNR: 26.843, Test PSNR: 0.000
Epoch: 246, TL: 0.006, TPSNR: 26.950, Test PSNR: 0.000
Epoch: 247, TL: 0.006, TPSNR: 26.992, Test PSNR: 0.000
Epoch: 248, TL: 0.006, TPSNR: 26.734, Test PSNR: 0.000
Epoch: 249, TL: 0.006, TPSNR: 26.920, Test PSNR: 0.000
Epoch: 250, TL: 0.006, TPSNR: 27.001, Test PSNR: 35.561
